11trees.com,Alan Brooks & Andrew McCann & ,2010,1-10 employees,Self-funded,Education,Practice Management,B2B SaaS,Startup,www.11trees.com,https://www.linkedin.com/company/11trees/about/,"701 Brazos Street, Suite 1616, Austin, TX 78701"
2FA (Identity Automation),John O'Donnell & James Litton & ,2006,11-50 employees,Acquired,Horizontal,Cybersecurity,B2B SaaS,Small,https://www.identityautomation.com/careers/,https://www.linkedin.com/company/2fa/about/,"9442 Capital of Texas Hwy N, Ste 225, Austin, TX 78759"
360factors,Robert Berger & Carl McCauley & ,2012,51-200 employees,Self-funded,Horizontal,Compliance,B2B SaaS,Medium,https://www.360factors.com/careers/,https://www.linkedin.com/company/360factors/about/,"1101 S. Capital of Texas Hwy, Building J, Suite 202, Austin, TX 78746"
360Training,William Paape & Ryan Linders & Tom Anderson & ,1997,201-500 employees,Private Equity funding,Horizontal,eLearning,B2B SaaS,Medium,https://www.360training.com/careers/,https://www.linkedin.com/company/360training/about/,"6801 N Capital of Texas Hwy, Building 1, Suite 250, Austin, Texas 78731, US"
3Data,Tyler Cummings & Wallon Walusayi & ,2015,11-50 employees,Other,Horizontal,Analytics and BI,B2B SaaS,Small,https://3data.io/careers/,https://www.linkedin.com/company/3data/about/,"701 Brazos St, Austin, Texas 78701 US"
83bar - the patient activation company,Jerry Furness & Paul Egli & Bob Baurys & ,2013,11-50 employees,Other,Healthcare,Practice Management,B2B SaaS,Small,https://www.83bar.com/careers/,https://www.linkedin.com/company/83bar-llc/about/,"11211 Taylor Draper Lane, Suite 115, Austin, Texas 78759, US"
9Star Research,Antonius Block & Vinay Kaustin & ,2002,501-1000 employees,VC-funded,Horizontal,Cybersecurity,B2B SaaS,Large,https://9starinc.com/careers/,https://www.linkedin.com/company/9star/about/,"3801 N Capital of Texas Hwy., Suite E240-189, Austin, TX 78746, USA"
A Cloud Guru,Jon Meachin & Justin Talerico & Sam Kroonenburg & ,2015,201-500 employees,VC-funded,Horizontal,Personal eLearning,Consumer,Medium,https://acloudguru.com/careers/,https://www.linkedin.com/company/a-cloud-guru/about/,"800 Brazos St, Austin, Texas 78701, US"
Abrigo,David McCann & Wayne Roberts & ,2000,201-500 employees,Other,Horizontal,Fraud Mgt,Fintech,Medium,https://www.abrigo.com/company/careers/,https://www.linkedin.com/company/weareabrigo/about/,"12331-B Riata Trace Parkway, Building 4, Suite 200, Austin, TX 78741"
Accelerist,Brittany Hill & ,2016,1-10 employees,VC-funded,Non-Profit,Sales and Marketing,B2B SaaS,Startup,www.Accelerist.com,https://www.linkedin.com/company/accelerist/about/,"5511 Parkcrest Dr, Austin, Texas 78731, US"
Accruent,Aaron Hamilton & David Mitzenmacher & Andy Ruse & ,1995,1001-5000 employees,Acquired,Horizontal,Business Mgt and ERP,B2B SaaS,Large,https://www.accruent.com/about-us/careers/,https://www.linkedin.com/company/accruent/about/,11500 Alterra Parkway  Suite 110 Austin TX 78758
AccuBuild,Josh Stearns & Wes Kelley & Josh Stearns & ,1987,11-50 employees,VC-funded,Construction,Business Mgt and ERP,B2B SaaS,Small,www.accubuild.com,https://www.linkedin.com/company/accubuild-construction-software/about/,"1208 South Main Street, Georgetown, Texas 78626, US"
Aceable,Marjorie Edwards & Tom Ellingson & Blake Garrett & ,2012,201-500 employees,VC-funded,Horizontal,Marketplace,B2B SaaS,Medium,https://www.aceable.com/careers/,https://www.linkedin.com/company/aceable/about/,"610 W 5th St, Suite 603, Austin, Texas 78701, US"
